(155) 14291595,SI14291595
(142) 34291627,SI34291627
(136) 44291640,SI44291640
(153) 84118802,SI84118802
SAK (130520),SI98261
(333) AT975050917,AT975050917
(279) DE0354420154,DE0354420154
(334) DE0359129455,DE0359129455
(253) 03636798,SI03636798
(237) 03870479,SI03870479
(286) 03971972,SI03971972
(303) 03980839,SI03980839
(196) 04025328,SI04025328
(294) 04171625,SI04171625
(201) 04173940,SI04173940
(351) 04247597,SI04247597
(322) 04280369,SI04280369
(337) 04280376,SI04280376
(308) 04280383,SI04280383
(329) 04280390,SI04280390
(265) 04282835,SI04282835
(252) 04408053,SI04408053
(242) 04412111,SI04412111
(372) 04414474,SI04414474
(377) 04654900,SI04654900
(381) 04688262,SI04688262
(386) 04750453,SI04750453
(207) 04773416,SI04773416
(345) 13755289,SI13755289
(273) 13942188,SI13942188
(258) 13971359,SI13971359
(285) 13973887,SI13973887
(311) 13980814,SI13980814
(234) 14224289,SI14224289
(320) 14280368,SI14280368
(263) 14282865,SI14282865
(344) 14305533,SI14305533
(219) 14412103,SI14412103
(359) 14498510,SI14498510
(365) 14549410,SI14549410
(376) 14654899,SI14654899
(206) 14773408,SI14773408
(208) 14773415,SI14773415
(266) 14825378,SI14825378
(331) 14931909,SI14931909
(251) 23269004,SI23269004
(245) 23393019,SI23393019
(349) 23548240,SI23548240
(244) 23831056,SI23831056
(223) 23870484,SI23870484
(350) 63996227,SI23996227
(363) 24017422,SI24017422
(288) 24171953,SI24171953
(197) 24173948,SI24173948
(371) 24181749,SI24181749
(238) 24224288,SI24224288
(282) 24329785,SI24329785
(346) 24424000,SI24424000
(378) 24654908,SI24654908
(379) 24654915,SI24654915
(211) 24773407,SI24773407
(205) 24773414,SI24773414
(373) 33942179,SI33942179
(264) 33977085,SI33977085
(321) 33980829,SI33980829
(298) 34033982,SI34033982
(257) 34079362,SI34079362
(307) 34162679,SI34162679
(202) 34173947,SI34173947
(218) 34224287,SI34224287
(364) 34300000,SI34300000
(360) 34305562,SI34305562
(276) 34382619,SI34382619
(290) 34409219,SI34409219
(229) 34412118,SI34412118
(361) 34416507,SI34416507
(247) 34533736,SI34533736
(270) 34534672,SI34534672
(277) 34750405,SI34750405
(209) 34773413,SI34773413
(271) 34820924,SI34820924
(195) 42892393,SI42892393
(370) 43087774,SI43087774
(240) 43870475,SI43870475
(198) 44173946,SI44173946
(217) 44224293,SI44224293
(304) 44280365,SI44280365
(310) 44280396,SI44280396
(348) 44305530,SI44305530
(347) 44305585,SI44305585
(278) 44349303,SI44349303
(256) 44408059,SI44408059
(369) 44495105,SI44495105
(250) 44533742,SI44533742
(335) 44574079,SI44574079
(260) 44594589,SI44594589
(387) 44750411,SI44750411
(383) 44750442,SI44750442
(230) 53831046,SI53831046
(388) 53882839,SI53882839
(262) 53977100,SI53977100
(302) 54033818,SI54033818
(326) 54280357,SI54280357
(343) 54280371,SI54280371
(259) 54365715,SI54365715
(228) 54412109,SI54412109
(232) 54412116,SI54412116
(191) 54462166,SI54462166
(367) 54502073,SI54502073
(357) 54505038,SI54505038
(268) 54734203,SI54734203
(269) 54734241,SI54734241
(210) 54773411,SI54773411
(249) 63635997,SI63635997
(231) 63870473,SI63870473
(226) 63870480,SI63870480
(356) 63917040,SI63917040
(328) 63980833,SI63980833
(296) 64171526,SI64171526
(284) 64227270,SI64227270
(339) 64280356,SI64280356
(309) 64280394,SI64280394
(292) 64409216,SI64409216
(235) 64412108,SI64412108
(352) 64500513,SI64500513
(366) 64502072,SI64502072
(246) 64533733,SI64533733
(267) 64534686,SI64534686
(194) 73058421,SI73058421
(315) 73319836,SI73319836
(325) 73319843,SI73319843
(368) 73386269,SI73386269
(300) 73829139,SI73829139
(221) 73831051,SI73831051
(213) 73870472,SI73870472
(287) 73905464,SI73905464
(274) 74108330,SI74108330
(293) 74171587,SI74171587
(214) 74224290,SI74224290
(261) 74282838,SI74282838
(283) 74283169,SI74283169
(275) 74382622,SI74382622
(301) 74409222,SI74409222
(224) 74412107,SI74412107
(355) 74414800,SI74414800
(336) 74574069,SI74574069
(380) 74654910,SI74654910
(272) 74734232,SI74734232
(239) 83831050,SI83831050
(280) 83882812,SI83882812
(389) 83882843,SI83882843
(295) 83905360,SI83905360
(354) 83944750,SI83944750
(297) 84171586,SI84171586
(362) 84181750,SI84181750
(281) 84227326,SI84227326
(289) 84227405,SI84227405
(319) 84280361,SI84280361
(324) 84280385,SI84280385
(305) 84280392,SI84280392
(243) 84412113,SI84412113
(353) 84421850,SI84421850
(199) 84462163,SI84462163
