"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI52660753",1728151,"09.05.04","1"
"SI22213361",1728155,"08.10.01","1"
"SI62283944",1728156,"20.11.02","2"
"SI02654210",1728158,"08.03.04","1"
"SI32660779",1728174,"06.05.04","2"
"SI22284097",1728185,"09.02.02","2"
"SI52283914",1728245,"10.03.02","1"
"SI62640527",1728248,"13.07.03","1"
"SI22640514",1728250,"13.07.03","1"
"SI42660716",1728252,"25.06.04","1"
"SI92284052",1728254,"11.01.03","2"
"SI72654268",1728256,"01.03.04","2"
"SI72660706",1728259,"10.07.04","2"
"SI92619423",1728270,"07.03.03","2"
"SI02640516",1728272,"27.07.03","1"
"SI12654312",1728286,"07.02.04","2"
"SI82227234",1728297,"04.05.01","2"
"SI12252824",1728305,"27.02.02","2"
"SI52618031",1728306,"20.03.03","1"
"SI02657419",1728308,"25.06.04","2"
"SI12657418",1728317,"29.06.04","1"
"SI12938924",1728508,"14.08.04","1"
"SI12915325",1728551,"02.08.04","1"
"SI22915324",1728552,"01.08.04","2"
"SI13025465",1943938,"16.05.05","2"
"SI03025466",1943939,"16.05.05","2"
"SI42883436",1728640,"31.07.04","2"
"SI72965238",1944085,"08.05.05","1"
"SI42353049",1729992,"18.04.02","1"
"SI82618454",1729994,"09.05.03","2"
"SI72239047",1730107,"24.05.02","2"
"SI12643831",1730110,"31.07.03","2"
"SI82588539",1730145,"13.04.03","2"
"SI92618460",1730147,"13.04.03","1"
"SI82617965",1730158,"20.12.02","1"
"SI72617966",1730185,"05.01.03","2"
"SI52618024",1730226,"28.02.03","2"
"SI82618461",1730231,"30.04.03","1"
"SI33025470",1945651,"28.05.05","2"
"SI32645446",1730304,"25.02.04","1"
"SI12617395",1730312,"27.01.03","1"
"SI62645467",1730314,"05.03.04","1"
"SI53007063",1945897,"31.12.04","2"
"SI43007064",1945979,"15.01.05","1"
"SI12915916",1731317,"14.08.04","2"
"SI62852120",1731319,"05.08.04","1"
"SI43030246",1947088,"08.05.05","1"
"SI53030245",1947094,"18.04.05","2"
"SI83025640",1947451,"23.05.05","1"
"SI82362634",1732522,"09.12.02","2"
"SI32649024",1732547,"11.11.03","2"
"SI92645426",1732560,"09.04.04","2"
"SI52649053",1732564,"01.12.03","2"
"SI42617385",1732565,"11.01.03","2"
"SI42649054",1732598,"04.11.03","1"
"SI42587226",1732601,"15.02.03","1"
"SI52617384",1732612,"21.01.03","2"
"SI62645498",1732616,"20.01.04","2"
"SI02617396",1732749,"30.11.02","2"
"SI42581866",1732752,"14.05.02","1"
"SI72241921",1732817,"19.10.01","1"
"SI22584892",1732823,"07.10.02","1"
"SI42645445",1732855,"15.01.04","1"
"SIE03-78878",1732857,"23.03.98","2"
"SI02239075",1732862,"20.03.02","1"
"SI92618594",1732864,"29.04.03","1"
"SI42657422",1732866,"12.06.04","1"
"SI22223511",1732874,"04.04.01","1"
"SI92224625",1732878,"29.05.01","2"
"SI02224624",1732882,"11.05.01","1"
"SI02618593",1732884,"21.06.03","2"
"SI52658680",1732889,"16.05.04","2"
"SI82643841",1732892,"06.08.03","1"
"SI42350242",1732919,"05.06.02","1"
"SI12223512",1732921,"30.03.01","2"
"SI22350251",1732954,"04.10.01","1"
"SI92358018",1732968,"22.10.02","1"
"SI12301887",1732982,"29.04.01","1"
"SI22241902",1732993,"15.11.01","1"
"SI62358035",1732996,"02.11.02","1"
"SI22362544",1733037,"07.01.03","1"
"SI32368893",1733140,"12.12.02","1"
"SI62355269",1733145,"15.10.02","2"
"SI72352777",1733168,"05.06.04","2"
"SI42966562",1949167,"14.04.05","1"
"SI02667542",1949430,"11.12.04","1"
"SI02669032",1949580,"12.12.04","1"
"SI23024274",1950325,"10.03.05","2"
"SI42932042",1734535,"02.09.04","1"
"SI73024286",1950482,"29.05.05","2"
"SI92965250",1951015,"25.05.05","2"
"SI13030995",1951765,"26.05.05","2"
"SI82639460",1735950,"03.04.03","1"
"SIE03-92864",1735957,"15.08.97","2"
"SI02639406",1735978,"15.11.02","2"
"SI52207765",1735981,"05.08.00","2"
"SI42264688",1735996,"15.08.95","2"
"SI92264690",1736000,"14.12.01","2"
"SI52364495",1736001,"29.11.02","1"
"SI32654626",1736003,"03.12.03","1"
"SI12654635",1736006,"23.01.04","2"
"SI72264702",1736013,"17.12.98","2"
"SI32639434",1736021,"24.01.03","1"
"SI83025248",1952331,"15.04.05","1"
"SI73025249",1952333,"14.04.05","1"
"SI93025474",1952613,"28.05.05","2"
"SI73025476",1952644,"08.06.05","2"
"SI53025478",1953173,"08.06.05","2"
"SI23029640",1953345,"05.06.05","2"
"SI92364044",1736396,"26.01.02","1"
"SI62364085",1736400,"21.01.03","1"
"SI33040064",1954232,"19.04.05","2"
"SI43040063",1954233,"07.05.05","2"
"SI83037737",1954296,"27.05.05","2"
"SI63030299",1954372,"08.06.05","1"
"SI13030335",1954376,"19.06.05","1"
"SI03030336",1954377,"16.06.05","1"
"SI33030333",1954379,"24.05.05","2"
"SI33030326",1954386,"15.06.05","1"
"SI13013055",1954840,"09.06.05","1"
"SI12966572",1955370,"12.06.05","2"
"SI02966573",1955371,"12.06.05","1"
"SI03025480",1955903,"16.06.05","1"
"SI83021914",1955956,"16.05.05","2"
"SI43040221",1956802,"03.06.05","1"
"SI1674996",358869,"15.12.97","2"
"SI43030356",1959572,"16.05.05","1"
"SI32966659",1960428,"23.06.05","2"
"SI33024383",1961427,"21.05.05","1"
"SI93013961",1962133,"04.07.05","2"
"SI83030369",1962164,"23.06.05","2"
"SI32647699",1962705,"07.01.05","2"
"SI82346465",1258332,"09.11.01","1"
"SI32200193",1215074,"11.04.01","1"
"SI52297010",1215978,"13.06.01","1"
"SI1933025",866349,"17.04.99","2"
"SI12301399",1216666,"05.08.01","1"
"SI82387565",1260557,"11.07.01","2"
"SI1772777",251157,"24.04.98","2"
"SI22387578",1260880,"30.08.01","1"
"SI12387579",1260882,"26.11.01","1"
"SI1772757",251171,"01.12.97","2"
