"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI15183501",5288401,10.05.19,"1"
"SI85219054",5288406,05.04.19,"1"
"SI95219053",5288409,03.04.19,"1"
"SI15219051",5288412,01.04.19,"1"
"SI25219050",5288422,30.03.19,"1"
"SI25219067",5288430,30.04.19,"2"
"FR5703713148",5288431,13.11.07,"1"
"SI45219065",5288433,28.04.19,"2"
"SI35219059",5288437,13.04.19,"2"
"SI45219058",5288439,12.04.19,"1"
"FR6413412369",5288440,04.12.14,"1"
"FR5812015394",5288441,12.01.15,"2"
"SI05219052",5288443,02.04.19,"1"
"FR5811518217",5240787,30.12.17,"1"
"CZ731271052",5256992,05.11.16,"1"
"SI25086324",5288538,04.05.19,"2"
"SI05206287",5288569,27.04.19,"1"
"SI14943759",5288595,05.05.19,"2"
"SI64943761",5288598,10.05.19,"1"
"SI35212928",5288703,10.05.19,"1"
"SI64962933",4836495,19.07.17,"2"
"SI35214504",5288854,15.05.19,"2"
"SI55080071",4984295,27.02.18,"2"
"SI65087060",5289708,18.03.19,"2"
"SI65171196",5290214,30.04.19,"1"
"SI85171194",5290223,28.04.19,"1"
"SI05171192",5290232,15.04.19,"1"
"SI25182891",5290251,01.05.19,"1"
"SI15182892",5290253,04.05.19,"1"
"SI05182893",5290256,04.05.19,"2"
"SI95161541",5290347,22.04.19,"2"
"SI15169664",5290402,03.05.19,"2"
"SI35169662",5290404,29.04.19,"2"
"SI85168769",5290452,27.04.19,"1"
"SI04947170",5053592,16.06.18,"2"
"SI15078380",5016834,25.02.18,"2"
"SI75078384",5019028,04.03.18,"2"
"SI03618390",3235650,25.03.11,"2"
"SI35094227",5134322,02.10.18,"2"
"SI04627164",4709056,07.02.17,"2"
"SI05218941",5013724,24.03.18,"1"
"SI14627194",4742574,26.03.17,"2"
"SI24627186",4742964,07.03.17,"2"
"SI04627188",4742968,10.03.17,"2"
"SI44627184",4742970,02.03.17,"2"
"SI35218948",5013672,03.04.18,"1"
"SI04627157",4709062,24.01.17,"2"
"SI05131419",5290890,20.03.19,"1"
"SI15131418",5291008,20.03.19,"2"
"SI55143635",5138791,11.10.18,"1"
"SI34609725",4842670,18.06.17,"2"
"SI85117505",5100750,22.08.18,"1"
"SI24771106",4473195,10.04.16,"1"
"SI65131420",5291438,21.03.19,"1"
"SK812262785",4316656,23.01.15,"2"
"SI55056575",5088328,12.06.18,"2"
"SK812511265",4316666,22.02.15,"2"
"SI05053041",5081797,03.06.18,"1"
"SK812511269",4316667,27.02.15,"2"
"SI75053044",5083594,06.06.18,"1"
"SK812511261",4316664,19.02.15,"2"
"SI65053045",5083525,06.06.18,"2"
"SI55053046",5083953,07.06.18,"1"
"SK812511252",4316661,10.02.15,"2"
"SI45053047",5084810,08.06.18,"1"
"SK812262777",4316651,06.01.15,"2"
"SI35053048",5084789,08.06.18,"1"
"SI25053049",5086510,10.06.18,"1"
"SK812262781",4316654,23.01.15,"2"
"SI85053050",5086620,10.06.18,"1"
"SK812262779",4316652,07.01.15,"2"
"SI25053056",5086462,10.06.18,"1"
"SK812262782",4316655,24.01.15,"2"
"SI05053058",5087367,11.06.18,"1"
"SI45207394",5291913,05.05.19,"1"
"SK812262789",4316657,05.02.15,"2"
"SI45056576",5088471,12.06.18,"1"
"SI24609719",4843431,20.06.17,"2"
"SI84981873",5015550,17.03.18,"1"
"SI05159109",5292155,07.05.19,"2"
"SI15159115",5292156,25.04.19,"1"
"SI93124250",4142208,06.11.14,"2"
"SI04122016",3978374,15.05.14,"2"
"SI04291541",3768409,16.05.13,"2"
"SI04671754",4738696,12.04.17,"1"
"SI95161981",5292196,14.05.19,"2"
"SI64636568",5292327,22.03.19,"2"
"SI54636569",5292365,22.03.19,"2"
"DE0893440416",5292443,11.09.17,"2"
"DE0893440418",5292444,25.09.17,"2"
"DE0893440428",5292445,11.12.17,"2"
"DE0893471744",5292446,25.12.17,"2"
"DE0893471749",5292447,07.01.18,"1"
"SI35165589",5292715,12.05.19,"2"
"SI34451553",4230003,30.03.15,"1"
"SI72886144",1692087,03.05.04,"2"
"SI15146577",5293547,10.05.19,"2"
"SI05146578",5293548,11.05.19,"1"
"SI54619007",4526311,01.05.16,"2"
"SI25272992",5293867,24.03.19,"1"
"SI85154601",5294327,03.05.19,"1"
"SI65154603",5294340,05.05.19,"2"
"SI75154602",5294343,04.05.19,"1"
"SI55154604",5294350,11.05.19,"1"
"SI45154605",5294359,12.05.19,"2"
"SI25154607",5294371,21.05.19,"1"
"SI05160446",5294401,14.05.19,"2"
"SI54671742",4802547,06.06.17,"1"
"SI45131422",5294821,25.03.19,"2"
"SI05207202",5295278,17.05.19,"1"
"SI65212932",5295358,20.05.19,"2"
"SI35028527",5295519,06.05.19,"1"
"SI25028528",5295520,06.05.19,"1"
"SI15028529",5295521,08.05.19,"2"
"SI75028530",5295523,09.05.19,"2"
"SI45028533",5295530,11.05.19,"2"
"SI65028531",5295528,10.05.19,"2"
"SI55028532",5295529,11.05.19,"2"
"SI83881897",3235551,25.03.11,"2"
"SI55070742",5050984,19.04.18,"2"
"SI65070734",5023980,11.03.18,"2"
"SI05067532",5146390,15.10.18,"1"
"SI64950365",4757947,07.04.17,"1"
"SI34731271",5296044,27.03.19,"2"
"SI24731272",5296132,27.03.19,"2"
"SI64111388",3781335,13.06.13,"2"
"SI64994059",5297256,18.05.19,"1"
"SI15194233",5297269,25.05.19,"2"
"AT002229638",5040518,16.04.17,"1"
"SI25158986",5235352,18.02.19,"2"
"SI74750724",4494184,16.03.16,"1"
"SI35154606",5297904,26.05.19,"2"
"SI35206954",5297938,20.05.19,"2"
"SI74970609",5072915,26.06.18,"2"
"SI34970610",5072923,25.06.18,"2"
"SI34970603",5048225,30.05.18,"2"
"SI25097960",5085889,28.07.18,"2"
"SI93815165",3247696,17.05.11,"2"
"SI35066514",5039406,15.05.18,"1"
"SI35066507",5027381,08.05.18,"1"
"SI85207699",5298734,24.05.19,"2"
"SI05178780",5298743,27.05.19,"2"
"SI45178779",5298745,24.05.19,"2"
"SI74991914",5298871,05.05.19,"2"
"SI64991915",5298873,07.05.19,"2"
"SI54991916",5298878,10.05.19,"2"
"SI44991917",5298881,13.05.19,"1"
"SI04910190",5298915,14.05.19,"2"
"SI75079718",5294004,24.03.19,"1"
"HU3359103589",4596136,22.02.16,"2"
"HU3359103604",4596137,25.02.16,"1"
"SI44910189",5298921,27.05.19,"2"
"HU3359103750",4596142,07.03.16,"2"
"SI85070392",5298972,19.05.19,"1"
"SI95070391",5298974,17.05.19,"2"
"SI05070390",5298978,14.05.19,"1"
"SI45070389",5298983,10.05.19,"2"
"SI34780828",4743276,03.04.17,"2"
"SI84780823",4725339,10.03.17,"2"
"SI94780822",4725347,10.03.17,"2"
"SI14959833",4782155,05.05.17,"2"
"SI55137324",5299057,31.03.19,"2"
"SI25079720",5299079,31.03.19,"2"
"SI05124736",5299113,31.03.19,"2"
"SI15079721",5299204,31.03.19,"2"
"SI65020605",4986305,27.02.18,"1"
"SI65209844",5299490,24.05.19,"2"
"SI55132790",5299495,07.05.19,"2"
"SI95184212",5299519,16.05.19,"2"
"SI05184211",5299521,14.05.19,"2"
"SI45204858",5299684,08.05.19,"2"
"SI15088671",5299726,18.04.19,"2"
"SI05088672",5299727,20.04.19,"1"
"SI95088673",5299729,22.04.19,"2"
"SI84960355",5299797,01.04.19,"2"
"SI95178657",5299946,01.04.19,"1"
"SI45137325",5299950,01.04.19,"2"
"SI35180111",5299969,01.04.19,"2"
"SI85180178",5300051,01.04.19,"2"
"SI65194551",5300055,01.04.19,"2"
"SI75158905",5229137,31.01.19,"1"
"SI65158906",5229136,31.01.19,"2"
"SI15158901",5220946,19.01.19,"2"
